good morning,Magandang umaga
good afternoon,Magandang hapon
good evening,Magandang gabi 
how are you?,Kamusta ka?
yes, Oo
no,Hindi 
thank you,Salamat po
thank you very much,Maraming salamat po
may I ask a question,P'wede po magtanong?
how much, Magkano?
goodbye,Paalam
bye,Paalam
take care,Ingat 
where is the bathroom?,Ha-in an banyo?
where is the restroom?,Ha-in an banyo?
how to I get to [insert location here]?,Papano ako makaka punta sa [insert location here]?
let's eat!,Kain na!
how old are you?,Ilan taon kana?
I am [Insert age here] years old,[Insert age here] taon na po ako
may I have some mineral water?,Pahinge ako ng mineral na tubig? (Foreigners do not drink the regular tap water in the Philippines)
1,Isa
2,Dalawa
3,Tatlo
4,Apat
5,Lima
6,Anim
7,Pito
8,Walo
9,Siyam
10,Sampu
11,Labing-isa
12,Dose (Do-sé)
13,Labintatlo
14,labing-apat
15,labinlima
16,labing-anim
17,labimpito
18,labing-walo
19,labinsiyam
20,Dalawampu
50,Singkwenta
100,Isang daan (dah-an)
