Good morning,Maupay nga aga (Ma-oo-pay nga aga)
Hello (formal),Maupay/Kumusta (Ma-oo-pay)
Good afternoon,Maupay kulop (Ma-oo-pay kulop)
Good evening,Maupay gab-i (Ma-oo-pay gab-ee)
How are you?,Kumusta ka na?
Yes,Oo
No,Diri
Thank you,Salamat po
Thank you very much,Damo nga salamat
May I ask a question,Mahimo ba ako mangutana?
What is your name?, Ano imo ngaran?
How much?,Tagpila?
Excuse me, Anay daw (getting attention)/Tabi or Excuse me (Passing through)
Bye,Sige sunod na la
Take care,Paghinay
1,Usa
2,Duha
3,Tulo
4,Upat
5,Lima
6,Unom
7,Pito
8,Walo
9,Siyam
10,Dyis (Djeys)
11,Onse (Onsé)
12,Dose (Dosé)
13,Trese (Tresé)
14,Katorse (Katorsé)
15,Kinse (Kinsé)
16,Disisays
17,Disisyete
18,Disiotso
19,Disinuybe
20,Baynte
50,Singkwenta
100,Syen
